Unnamed: 0,ts,IP_src,IP_dst,pck_size,IP_flags,IP_Z,IP_MF,IP_DF,TCP_dataofs,TCP_FIN,TCP_SYN,TCP_RST,TCP_PSH,TCP_ACK,TCP_URG,TCP_ECE,TCP_CWR,TCP_window,sport_class,sport_bare,dport_bare,UDP_dport,Protocol,dst_IP_diversity,dst_port_diversity,ID,pck_size_diff,pck_size_std_WE,pck_size_sum_of_EW,ts_diff,ts_std_WE,ts_sum_of_EW,TCP_window_diff,TCP_window_std_WE,TCP_window_sum_of_EW,pck_size_mean_2,pck_size_std_2,ts_mean_2,ts_std_2,TCP_window_mean_2,TCP_window_std_2,TCP_FIN_sum,TCP_SYN_sum,TCP_RST_sum,TCP_PSH_sum,TCP_ACK_sum,TCP_URG_sum,TCP_ECE_sum,TCP_CWR_sum,TCP_SYN_ratio,sum,TCP_ACK_SR,TCP_ACK_R,pck_size_mean_6,pck_size_std_6,ts_mean_6,ts_std_6,TCP_window_mean_6,TCP_window_std_6,pck_size_mean_9,pck_size_std_9,ts_mean_9,ts_std_9,TCP_window_mean_9,TCP_window_std_9
0,0.0,192.168.1.17,142.250.198.142,41,3.0,0,0,1,5,0,0,0,0,1,0,0,0,509,13,50600,443,0,TCP,1,1,192.168.1.17=>142.250.198.142,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,509.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,142.250.198.142,192.168.1.17,52,,0,0,0,8,0,0,0,0,1,0,0,0,1047,7,443,50600,0,TCP,1,1,142.250.198.142=>192.168.1.17,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,1047.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,192.168.1.17,57.144.152.145,69,3.0,0,0,1,5,0,0,0,1,1,0,0,0,516,13,50447,443,0,TLSv1.2,2,1,192.168.1.17=>57.144.152.145,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,516.0,54.5,20.50609665440988,0.1228399276733398,0.1737218917165673,516.0,0.0,0,0,0,1,1,0,0,0,0.0,2,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,57.144.152.145,192.168.1.17,40,3.0,0,0,1,5,0,0,0,0,1,0,0,0,3520,7,443,50447,0,TCP,1,1,57.144.152.145=>192.168.1.17,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,3520.0,52.5,17.67766952966369,0.0831584930419921,0.117603868686494,3520.0,0.0,0,0,0,0,1,0,0,0,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,192.168.1.17,104.18.41.158,41,3.0,0,0,1,5,0,0,0,0,1,0,0,0,512,13,50602,443,0,TCP,3,1,192.168.1.17=>104.18.41.158,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,512.0,41.0,0.0,1.6927719116210938e-05,2.393940995418781e-05,512.0,0.0,0,0,0,0,1,0,0,0,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3.3855438232421875e-05,192.168.1.17,104.18.41.158,41,3.0,0,0,1,5,0,0,0,0,1,0,0,0,512,13,50601,443,0,TCP,3,1,192.168.1.17=>104.18.41.158,0.0,0.0,82.0,3.3855438232421875e-05,2.393940995418781e-05,3.3855438232421875e-05,0.0,0.0,1024.0,41.0,0.0,1.6927719116210938e-05,2.393940995418781e-05,512.0,0.0,0,0,0,0,2,0,0,0,0.0,2,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.1663169860839843,57.144.152.145,192.168.1.17,65,3.0,0,0,1,5,0,0,0,1,1,0,0,0,3520,7,443,50447,0,TLSv1.2,1,1,57.144.152.145=>192.168.1.17,25.0,17.67766952966369,105.0,0.1663169860839843,0.117603868686494,0.1663169860839843,0.0,0.0,7040.0,52.5,17.67766952966369,0.0831584930419921,0.117603868686494,3520.0,0.0,0,0,0,1,2,0,0,0,0.0,3,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,104.18.41.158,192.168.1.17,52,3.0,0,0,1,8,0,0,0,0,1,0,0,0,9,7,443,50601,0,TCP,1,1,104.18.41.158=>192.168.1.17,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,9.0,52.0,0.0,0.0,0.0,9.0,0.0,0,0,0,0,1,0,0,0,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,104.18.41.158,192.168.1.17,52,3.0,0,0,1,8,0,0,0,0,1,0,0,0,9,7,443,50602,0,TCP,1,2,104.18.41.158=>192.168.1.17,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,18.0,52.0,0.0,0.0,0.0,9.0,0.0,0,0,0,0,2,0,0,0,0.0,2,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.2456798553466797,192.168.1.17,57.144.152.145,40,3.0,0,0,1,5,0,0,0,0,1,0,0,0,516,13,50447,443,0,TCP,3,1,192.168.1.17=>57.144.152.145,-29.0,20.50609665440988,109.0,0.2456798553466797,0.1737218917165673,0.2456798553466797,0.0,0.0,1032.0,54.5,20.50609665440988,0.1228399276733398,0.1737218917165673,516.0,0.0,0,0,0,1,2,0,0,0,0.0,3,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
