Dataset,SW,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
SYN_ARP,5,1,0,RF,0.9979939819458375,0.9981508876331896,0.9981508876331896,0.9981508876331896,0.9981508876331896,0.9967148160839046,0,7.687538146972656,0.07640790939331055
SYN_ARP,5,1,1,RF,0.9980942828485456,0.998166148742813,0.9983139076114026,0.998166148742813,0.998239912417192,0.9968787307904071,0,7.684962511062622,0.07200455665588379
SYN_ARP,5,1,2,RF,0.9981945837512538,0.9982801868315345,0.9983786679168584,0.9982801868315345,0.9983293759283384,0.9970431169113282,0,7.674773216247559,0.18644022941589355
SYN_ARP,5,1,3,RF,0.9978936810431294,0.9979874610549189,0.9981351403553506,0.9979874610549189,0.9980611849807636,0.9965501761367658,0,13.47694206237793,0.07708930969238281
SYN_ARP,5,1,4,RF,0.9980942828485456,0.998166148742813,0.9983139076114026,0.998166148742813,0.998239912417192,0.9968787307904071,0,7.814771890640259,0.08052682876586914
SYN_ARP,5,1,5,RF,0.9980942828485456,0.998166148742813,0.9983139076114026,0.998166148742813,0.998239912417192,0.9968787307904071,0,7.970771551132202,0.07400012016296387
SYN_ARP,5,1,6,RF,0.9980942828485456,0.9981167602532638,0.9983632818676456,0.9981167602532638,0.9982396993688324,0.9968785010886192,0,7.7498064041137695,0.0780789852142334
SYN_ARP,5,1,7,RF,0.9979939819458375,0.9981014991436404,0.9981999272151248,0.9981014991436404,0.998150661749316,0.9967145743459201,0,7.741681814193726,0.07360434532165527
SYN_ARP,5,1,8,RF,0.9980942828485456,0.9981167602532638,0.9983632818676456,0.9981167602532638,0.9982396993688324,0.9968785010886192,0,8.311986446380615,0.07492327690124512
SYN_ARP,5,1,9,RF,0.9980942828485456,0.998166148742813,0.9983139076114026,0.998166148742813,0.998239912417192,0.9968787307904071,0,13.792921304702759,0.18607020378112793
