,precision,recall,f1-score,support
1,1.0,0.6662131519274377,0.799673380511704,6615.0
0,0.7405710257314064,1.0,0.8509518023491294,6303.0
accuracy,0.8290757083139806,0.8290757083139806,0.8290757083139806,0.8290757083139806
macro avg,0.870285512865703,0.8331065759637186,0.8253125914304162,12918.0
weighted avg,0.8734184219836705,0.8290757083139806,0.8246933443483113,12918.0
