,precision,recall,f1-score,support
Benign,0.9973845098399897,0.9978450487429452,0.9976146940017987,1949.0
ARP-Spoofing,0.9984864343103629,0.9980506255455339,0.9982684601612781,3437.0
SYN-Flooding,0.9987319198030391,0.9992069785884219,0.9989693550501132,1261.0
accuracy,0.9982097186700768,0.9982097186700768,0.9982097186700768,0.9982097186700768
macro avg,0.9982009546511306,0.998367550958967,0.9982841697377302,6647.0
weighted avg,0.9982099045094763,0.9982097186700768,0.9982097326466091,6647.0
