,precision,recall,f1-score,support
Benign,0.99753445710621,0.9965446459117345,0.9970392506105761,2923.0
ARP-Spoofing,0.9978484088139901,0.9984096198603568,0.9981289177286088,5156.0
SYN-Flooding,0.9994711792702274,0.9994711792702274,0.9994711792702274,1891.0
accuracy,0.9980641925777333,0.9980641925777333,0.9980641925777333,0.9980641925777333
macro avg,0.9982846817301425,0.9981418150141061,0.998213115869804,9970.0
weighted avg,0.9980641538582132,0.9980641925777333,0.9980640350394605,9970.0
