Dataset,SW,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
SYN_ARP,5,1,0,RF,0.998194674289153,0.9983726613933643,0.9981318357687744,0.9983726613933643,0.9982521462172093,0.9970440898436003,0,4.178066730499268,0.04073691368103027
SYN_ARP,5,1,1,RF,0.9983451180983902,0.9984696451970692,0.9983958985273148,0.9984696451970692,0.9984327429410008,0.9972901971751519,0,4.4114344120025635,0.04103446006774902
SYN_ARP,5,1,2,RF,0.9983451180983902,0.9984696451970692,0.9983958985273148,0.9984696451970692,0.9984327429410008,0.9972901971751519,0,4.309473752975464,0.03786158561706543
SYN_ARP,5,1,3,RF,0.998194674289153,0.9983726613933643,0.9981318357687744,0.9983726613933643,0.9982521462172093,0.9970440898436003,0,4.335325241088867,0.04260420799255371
SYN_ARP,5,1,4,RF,0.9980442304799158,0.9982756775896595,0.9979612800046528,0.9982756775896595,0.9981182756323791,0.9967979405671148,0,4.509885787963867,0.04220294952392578
SYN_ARP,5,1,5,RF,0.9980442304799158,0.9982016335158203,0.9980345264173689,0.9982016335158203,0.9981180206203741,0.9967975874078784,0,4.143903732299805,0.04302263259887695
SYN_ARP,5,1,6,RF,0.998194674289153,0.9982986173195251,0.9982986173195251,0.9982986173195251,0.9982986173195251,0.9970436884319503,0,4.1018290519714355,0.03991985321044922
SYN_ARP,5,1,7,RF,0.9983451180983902,0.9985436892709084,0.9982292010892809,0.9985436892709084,0.9983862419518664,0.997290565095251,0,3.9214696884155273,0.0365750789642334
SYN_ARP,5,1,8,RF,0.998194674289153,0.9983726613933643,0.9981318357687744,0.9983726613933643,0.9982521462172093,0.9970440898436003,0,4.00508975982666,0.03520536422729492
SYN_ARP,5,1,9,RF,0.998194674289153,0.9982986173195251,0.9982986173195251,0.9982986173195251,0.9982986173195251,0.9970436884319503,0,4.010236501693726,0.03969287872314453
